company,sector,country,region,year,total_postings,ai_postings,avg_ai_score,avg_posted_salary,ai_adoption_rate
162258.0,Healthcare,United States,IL,2023,1,0,0.0,22.0,0.0
162724.0,Healthcare,United States,Unknown,2023,1,0,0.0,160650.0,0.0
162767.0,Healthcare,United States,CO,2023,1,0,0.0,,0.0
162813.0,Healthcare,United States,Unknown,2023,1,0,0.0,106980.0,0.0
163079.0,Healthcare,United States,AZ,2023,1,0,0.0,21.875,0.0
163079.0,Healthcare,United States,CA,2023,2,0,0.0,43.25,0.0
163761.0,Healthcare,United States,NH,2023,1,0,0.0,,0.0
163787.0,Healthcare,United States,TX,2023,1,0,0.0,24.315,0.0
16388.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
163885.0,Healthcare,United States,NY,2023,1,0,0.1,22.314999999999998,0.0
164113.0,Healthcare,United States,IA,2023,1,0,0.0,,0.0
164200.0,Healthcare,United States,NM,2023,1,0,0.0,20.5,0.0
164200.0,Healthcare,United States,PA,2023,1,0,0.0,13.5,0.0
164200.0,Healthcare,United States,TN,2023,1,0,0.0,13.5,0.0
164200.0,Healthcare,United States,TX,2023,1,0,0.0,13.5,0.0
164249.0,Healthcare,United States,IA,2023,2,0,0.0,,0.0
164451.0,Healthcare,United States,IA,2023,1,0,0.0,,0.0
164731.0,Healthcare,United States,MN,2023,1,0,0.0,,0.0
164860.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
164931.0,Healthcare,United States,IL,2023,2,0,0.0,,0.0
165029.0,Healthcare,United States,NY,2023,1,0,0.0,27.91,0.0
165295.0,Healthcare,United States,CT,2023,1,0,0.0,,0.0
165303.0,Healthcare,United States,NC,2023,1,0,0.0,,0.0
165422.0,Healthcare,United States,WA,2023,1,0,0.0,40.525000000000006,0.0
165472.0,Healthcare,United States,CA,2023,1,0,0.0,17.7,0.0
165472.0,Healthcare,United States,GA,2023,2,0,0.0,15.09,0.0
16612.0,Healthcare,United States,GA,2023,1,0,0.0,,0.0
166471.0,Healthcare,United States,ID,2023,1,0,0.0,,0.0
166551.0,Healthcare,United States,MI,2023,1,0,0.0,25.0,0.0
166587.0,Healthcare,United States,NC,2023,2,0,0.0,16.81,0.0
166714.0,Healthcare,United States,VA,2023,1,0,0.0,27.225,0.0
167757.0,Healthcare,United States,CA,2023,1,0,0.0,17.5,0.0
167757.0,Healthcare,United States,MI,2023,1,0,0.0,,0.0
167757.0,Healthcare,United States,NE,2023,1,0,0.0,16.0,0.0
1681.0,Healthcare,United States,RI,2023,1,0,0.0,60000.0,0.0
1681.0,Healthcare,United States,Unknown,2023,1,0,0.0,152500.0,0.0
16995.0,Healthcare,United States,LA,2023,1,0,0.0,,0.0
17419.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
17937.0,Healthcare,United States,MN,2023,1,0,0.0,33.0,0.0
1805509.0,Healthcare,United States,AZ,2023,1,0,0.0,29.5,0.0
18099373.0,Healthcare,United States,OR,2023,1,0,0.0,75000.0,0.0
18109.0,Healthcare,United States,MN,2023,1,0,0.0,21.2,0.0
18176.0,Healthcare,United States,CA,2023,1,0,0.0,20.0,0.0
18176.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
18213359.0,Healthcare,United States,CA,2023,3,0,0.0,21.28,0.0
18287.0,Healthcare,United States,AZ,2023,1,0,0.0,,0.0
18341423.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
18456165.0,Healthcare,United States,WA,2023,1,0,0.0,101500.0,0.0
18466.0,Healthcare,United States,WI,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,AR,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,CO,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,GA,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,IA,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,ID,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,IL,2023,2,0,0.0,2315.5,0.0
18506580.0,Healthcare,United States,IN,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,MA,2023,2,0,0.0,,0.0
18506580.0,Healthcare,United States,MD,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,ME,2023,1,0,0.0,,0.0
18506580.0,Healthcare,United States,MI,2023,2,0,0.0,,0.0
